x,y,label
-1.7102365,-4.530839,0
7.2995543,-11.096415,0
1.3243933,5.3326645,0
2.2115362,18.136034,0
-8.628287,-2.0922215,4
6.804872,-11.428023,0
-3.8959725,13.099677,0
-1.7056434,10.34239,0
-5.6777215,0.58587575,0
-3.884407,13.304217,0
4.3988395,-6.4344215,0
2.2329497,18.091272,0
3.3075407,19.548456,0
-0.21395199,17.418129,4
-4.492797,15.230548,0
-3.1956244,11.530773,4
0.643967,8.496171,0
-1.9795523,-4.4017496,0
3.3133018,19.527182,0
1.4202211,-4.1899343,4
-7.3474894,-3.6753814,0
-5.3616624,13.853057,0
-1.2643563,17.960583,0
0.20121795,10.0296335,0
10.477246,-9.123681,0
-4.5052247,1.0304991,0
5.7754164,-10.856652,0
-3.8107765,16.385761,0
-3.3664255,11.671316,0
1.9455987,19.398745,0
6.968824,-10.584675,0
3.4972372,20.170584,0
-4.185602,1.8225642,0
-1.5588115,17.949003,0
5.1245856,-9.657264,0
1.2690997,8.616517,0
-3.989609,13.3093,0
-8.408413,-1.0744208,0
1.9930549,6.8243165,0
1.9402921,6.703363,0
-0.37497196,0.4536843,0
-0.38944283,18.024002,0
11.995917,-2.362709,0
-3.7664144,12.661989,0
-1.3246611,16.365244,0
-4.661064,14.839094,0
-5.524617,15.798787,0
2.528357,6.167098,0
-1.0361258,-4.542814,0
4.8996196,-9.25344,4
-2.642261,-4.557902,0
1.6304247,18.035978,4
0.8234519,5.063348,0
1.8093407,8.314068,0
4.726089,-7.3233423,0
-0.26325256,3.9992929,4
-5.6681867,0.94884187,0
-1.9818945,10.275112,0
1.4572308,18.057781,4
-4.7414613,13.682217,0
-0.540179,9.803375,0
-4.3352427,13.729491,0
1.4621742,9.674057,0
0.9997306,4.4289494,0
-2.9985075,2.2653992,0
3.5909748,19.969666,4
5.60646,-10.337694,0
2.3472195,8.43342,0
-8.145635,-1.6706157,0
-0.31267345,18.06801,0
2.6469293,6.8168073,0
-2.0160804,2.781023,0
-0.8332936,9.431892,0
-2.800217,17.117628,0
2.7162733,19.029743,0
-6.141035,0.48045564,0
1.7170451,7.2513757,0
-2.6692257,16.794853,4
-5.5363755,15.75961,0
0.0862156,9.864884,0
-6.325214,-4.3260446,0
-4.8325906,-5.030594,0
-2.539759,-4.421838,0
8.531268,-10.658617,0
12.158019,-1.8885479,0
-1.8049005,10.443849,0
-1.8446635,16.453753,4
-7.7710667,-0.8385531,0
1.7295917,7.062524,0
1.1812261,-4.0434375,0
4.7402515,-6.3627105,4
8.3297,-10.847114,0
0.6183177,7.901789,0
2.6051126,7.5111127,4
11.032938,-8.385417,0
5.812357,-9.917423,0
4.7762513,-6.637203,0
-1.9002736,16.962883,4
-1.1316856,16.42066,4
0.30431458,17.716993,0
3.0129814,19.184368,0
-1.9723145,-4.695523,0
-1.5414336,-4.555732,4
4.879678,-9.512408,0
1.5148505,9.383029,0
1.8858304,8.187621,0
-3.3639362,1.9617703,0
-0.38331652,3.9087381,0
3.2098439,19.65678,0
13.374131,9.369522,0
1.6978083,7.080538,0
-2.066082,-4.645546,0
3.730442,20.187895,0
-0.49568605,9.711596,0
-0.60134643,9.696345,0
1.1251352,17.750818,0
-0.050942905,-3.9899254,0
-5.625725,0.44884533,0
4.449497,-6.501708,0
-8.369861,-1.804659,4
-2.7559724,2.3779027,4
-5.0957565,12.311252,0
-8.382627,-1.8416553,0
-5.3833723,15.318759,0
-5.118627,0.71551347,0
-0.10408568,10.65638,0
-4.3002605,12.841927,0
8.577466,-10.64879,0
12.667172,7.3175235,0
-5.295302,12.9352,0
-5.890067,0.60808384,0
-7.731488,-1.016414,0
0.43048078,17.271286,0
6.3433094,-11.125409,0
-8.279537,-2.4661548,4
-7.7326164,0.027612455,0
-0.47557765,-3.9541075,0
12.538506,5.080855,0
-1.484112,17.875011,0
-5.118389,16.38465,0
-5.43287,13.021047,0
0.4293893,5.113586,0
-1.0261056,17.29231,0
12.173028,1.7054336,0
-7.814594,-2.159905,0
2.6111002,18.887045,0
-3.546707,16.763138,0
0.55103475,9.446055,0
-5.5873475,14.734165,0
3.4751582,19.858637,0
-1.7245882,10.557857,0
-2.1546202,17.453815,0
-3.635352,-4.802674,4
6.8474674,-11.432734,0
-3.2938664,1.7863717,0
1.011635,6.183035,0
-1.1141026,17.143053,0
-1.6894597,17.595757,0
-1.150631,10.51086,0
-5.3492975,15.361186,0
-6.947806,0.017629351,4
0.3593025,3.892459,0
-4.7315702,13.560365,0
2.3220022,-4.171338,0
2.849216,6.8282967,0
4.815909,-6.6889815,0
-1.4206657,3.3023973,0
12.405329,4.7691727,0
-2.2963912,2.370373,0
-5.345085,13.011108,0
3.4163496,-4.624576,0
0.16015927,10.231309,0
-3.0996444,10.68497,0
0.18385984,10.4234295,0
-3.7089539,12.480607,0
-4.2242446,16.859735,0
-5.561738,-4.5856285,0
2.5479977,7.47327,0
-1.6430168,3.1961083,0
-7.909967,-1.0896257,0
-3.159164,11.375457,4
-4.7933173,13.459058,0
-1.932771,2.7083967,4
1.1337205,18.015507,0
-3.0704427,1.971245,0
-2.7200727,16.8289,0
0.98174345,18.944193,0
1.5576522,9.112954,0
1.1501515,6.488385,0
-5.8361335,13.725428,4
5.239481,-8.706631,0
7.1838193,-10.902361,0
0.7510989,17.366104,0
2.274324,8.960205,0
1.7126465,5.0299063,0
0.9685066,9.622011,0
0.8253108,-3.8580222,0
1.1808752,-3.9729347,0
1.3182684,-3.8763733,0
4.8019357,-6.552026,0
0.7391454,9.896559,0
0.36593288,17.2373,0
-2.1689901,2.4944468,4
0.76338005,17.401733,0
12.061916,-2.6919293,0
0.008214095,-4.62093,0
4.5659704,-6.3663106,0
-6.503557,-4.7813835,0
2.9379005,19.341318,0
-1.3627446,3.0254128,0
-4.217767,1.8111367,0
1.9048278,7.260914,0
-4.270004,16.962425,0
2.4200532,18.484905,0
-8.37975,-2.9659643,0
-2.0967014,2.503641,4
-3.7791972,16.549599,0
-1.2851944,9.921472,4
0.0016117932,-0.032832373,0
5.768223,-10.423071,0
1.8951468,6.577135,4
-5.2808127,-4.400819,0
11.349592,-7.0665855,0
-0.90199316,17.294273,0
2.4761043,18.317822,0
1.1827481,7.4471765,0
-1.1522149,10.337943,0
-5.0321856,12.233756,0
4.5400643,-5.7806773,0
0.68006366,18.365974,0
-4.22681,14.657825,0
-5.024687,0.55004287,4
0.60640675,9.454173,0
-5.5331135,1.08079,0
6.0460296,-10.370222,0
12.254094,2.4598205,0
-6.2943788,-4.8797007,0
12.246217,2.6428473,0
-0.5768407,10.018223,0
-4.916824,12.010409,0
1.1021347,18.946861,0
-3.5567307,16.71591,0
4.8513403,-9.150189,0
4.9022026,-6.3295603,0
-5.2494435,16.235823,0
-6.4726152,-4.5873013,0
-0.49475002,0.6810649,0
-4.861621,12.939799,0
1.868578,6.592978,0
1.6379952,17.776098,0
-7.9573555,-1.6976025,0
1.4085307,19.113066,0
4.781288,-6.8153276,0
-4.8278747,16.539412,0
12.396332,4.870066,0
-5.5281196,14.361039,0
6.167586,-10.513024,0
-2.2232037,17.449392,0
9.05958,-10.373151,0
1.5607663,19.275244,4
0.10395533,-4.433244,4
2.178782,8.355554,0
0.6348798,4.1697497,0
2.7082894,7.4040713,0
-5.219725,-4.2892666,0
-0.6672845,9.385237,4
-3.7791483,12.618912,4
-2.1922023,17.451277,0
2.490894,18.327997,0
12.1921015,1.7122513,0
-1.107536,17.159382,0
-2.947554,2.1458397,0
-0.044651873,4.1010566,0
0.96029854,5.9905553,0
1.1147462,-4.040953,0
-5.409877,14.569578,0
12.274126,4.1030064,0
-1.1104877,17.93787,4
-1.6964654,3.1374025,0
4.9598036,-7.297101,0
-3.2088811,16.886461,0
-5.7242155,14.794484,0
12.071984,-6.62089,0
-0.53323305,0.795998,0
1.5999608,17.784506,0
0.44809073,10.396078,0
2.7317677,-4.165342,4
-4.550854,16.767452,0
14.59651,10.88927,0
0.11334498,9.873952,0
1.6719555,17.90242,0
11.614161,-7.6719327,0
-4.2724137,14.647663,0
2.0792475,6.132272,4
3.614609,20.02469,0
-7.3874044,-3.8110864,0
12.213795,2.576108,0
1.6237595,17.745691,0
8.869774,-10.360746,0
-2.9615242,10.773201,0
-0.43141404,17.899483,0
